event_id,order_id,status,event_ts,updated_at
SE-O010-CANCELLED,O010,CANCELLED,2026-07-10T16:00:00Z,2026-07-10T16:04:00Z
SE-O011-CREATED,O011,CREATED,2026-07-09T20:00:00Z,2026-07-09T20:02:00Z
SE-O011-PROCESSING,O011,PROCESSING,2026-07-09T23:00:00Z,2026-07-09T23:02:00Z
SE-O012-CREATED,O012,CREATED,2026-07-10T02:00:00Z,2026-07-10T02:02:00Z
SE-O012-COMPLETED,O012,COMPLETED,2026-07-10T12:00:00Z,2026-07-10T12:03:00Z
SE-O013-CREATED,O013,CREATED,2026-07-10T08:00:00Z,2026-07-10T08:02:00Z
SE-O013-COMPLETED,O013,COMPLETED,2026-07-10T19:00:00Z,2026-07-12T19:00:00Z
SE-O014-CREATED,O014,CREATED,2026-07-10T14:00:00Z,2026-07-10T14:02:00Z
SE-O014-CANCELLED,O014,CANCELLED,2026-07-10T19:00:00Z,2026-07-10T19:02:00Z
SE-O015-CREATED,O015,CREATED,2026-07-10T20:00:00Z,2026-07-10T20:02:00Z
SE-O015-COMPLETED,O015,COMPLETED,2026-07-11T04:00:00Z,2026-07-11T04:03:00Z
SE-O015-CANCELLED,O015,CANCELLED,2026-07-11T22:00:00Z,2026-07-11T22:04:00Z
SE-O016-CREATED,O016,CREATED,2026-07-11T02:00:00Z,2026-07-11T02:02:00Z
SE-O016-COMPLETED,O016,COMPLETED,2026-07-11T11:00:00Z,2026-07-11T11:03:00Z
SE-O017-CREATED,O017,CREATED,2026-07-11T08:00:00Z,2026-07-11T08:02:00Z
SE-O017-COMPLETED,O017,COMPLETED,2026-07-11T18:00:00Z,2026-07-11T18:03:00Z
SE-O018-CREATED,O018,CREATED,2026-07-11T14:00:00Z,2026-07-11T14:02:00Z
SE-O018-COMPLETED,O018,COMPLETED,2026-07-12T01:00:00Z,2026-07-12T01:03:00Z
SE-O019-CREATED,O019,CREATED,2026-07-11T20:00:00Z,2026-07-11T20:02:00Z
SE-O019-COMPLETED,O019,COMPLETED,2026-07-12T08:00:00Z,2026-07-12T08:03:00Z
SE-O020-CREATED,O020,CREATED,2026-07-12T02:00:00Z,2026-07-12T02:02:00Z
SE-O020-COMPLETED,O020,COMPLETED,2026-07-12T10:00:00Z,2026-07-12T10:03:00Z
SE-O020-CANCELLED,O020,CANCELLED,2026-07-13T04:00:00Z,2026-07-13T04:04:00Z
SE-O021-CREATED,O021,CREATED,2026-07-12T08:00:00Z,2026-07-12T08:02:00Z
SE-O021-COMPLETED,O021,COMPLETED,2026-07-12T17:00:00Z,2026-07-12T17:03:00Z
SE-O022-CREATED,O022,CREATED,2026-07-12T14:00:00Z,2026-07-12T14:02:00Z
SE-O022-PROCESSING,O022,PROCESSING,2026-07-12T17:00:00Z,2026-07-12T17:02:00Z
SE-O023-CREATED,O023,CREATED,2026-07-12T20:00:00Z,2026-07-12T20:02:00Z
SE-O023-COMPLETED,O023,COMPLETED,2026-07-13T07:00:00Z,2026-07-13T07:03:00Z
SE-O024-CREATED,O024,CREATED,2026-07-13T02:00:00Z,2026-07-13T02:02:00Z
SE-O024-COMPLETED,O024,COMPLETED,2026-07-13T14:00:00Z,2026-07-13T14:03:00Z
SE-O025-CREATED,O025,CREATED,2026-07-13T08:00:00Z,2026-07-13T08:02:00Z
SE-O025-COMPLETED,O025,COMPLETED,2026-07-13T16:00:00Z,2026-07-13T16:03:00Z
SE-O025-CANCELLED,O025,CANCELLED,2026-07-14T10:00:00Z,2026-07-14T10:04:00Z
SE-O026-CREATED,O026,CREATED,2026-07-13T14:00:00Z,2026-07-13T14:02:00Z
SE-O026-COMPLETED,O026,COMPLETED,2026-07-13T23:00:00Z,2026-07-13T23:03:00Z
SE-O027-CREATED,O027,CREATED,2026-07-13T20:00:00Z,2026-07-13T20:02:00Z
SE-O027-COMPLETED,O027,COMPLETED,2026-07-14T06:00:00Z,2026-07-14T06:03:00Z
SE-O028-CREATED,O028,CREATED,2026-07-14T02:00:00Z,2026-07-14T02:02:00Z
SE-O028-CANCELLED,O028,CANCELLED,2026-07-14T07:00:00Z,2026-07-14T07:02:00Z
SE-O029-CREATED,O029,CREATED,2026-07-14T08:00:00Z,2026-07-14T08:02:00Z
SE-O029-COMPLETED,O029,COMPLETED,2026-07-14T20:00:00Z,2026-07-14T20:03:00Z
SE-O030-CREATED,O030,CREATED,2026-07-14T14:00:00Z,2026-07-14T14:02:00Z
SE-O030-COMPLETED,O030,COMPLETED,2026-07-14T22:00:00Z,2026-07-14T22:03:00Z
SE-O030-CANCELLED,O030,CANCELLED,2026-07-15T16:00:00Z,2026-07-15T16:04:00Z
SE-O006-COMPLETED,O006,COMPLETED,2026-07-08T23:00:00Z,2026-07-08T23:03:00Z
SE-O009-COMPLETED,O009,COMPLETED,2026-07-09T20:00:00Z,2026-07-12T08:00:00Z
